timestamp,open,high,low,close,volume
2020-09-04,1125.2000,1148.0000,1100.7500,1119.8000,2408080
2020-08-28,1086.0000,1131.5000,1086.0000,1115.0000,2257675
2020-08-21,1045.0500,1088.2500,1020.5000,1085.7000,2738459
2020-08-14,1041.7000,1071.0000,1027.6000,1034.4500,2855367
2020-08-07,1030.0000,1059.9000,994.0000,1044.0000,3665373
2020-07-31,1097.8500,1101.4000,1020.6000,1032.6500,3535418
2020-07-24,1142.0000,1157.8500,1101.4500,1118.8000,4697219
2020-07-17,1109.0000,1114.0500,1034.4000,1099.1500,3350542
2020-07-10,1106.1000,1130.0000,1093.1500,1105.3500,2110743
2020-07-03,1033.0000,1110.7500,1033.0000,1074.2000,4084646
2020-06-26,1023.0000,1062.5000,1007.2500,1055.6000,3363975
2020-06-19,972.4000,1042.7000,942.6500,1033.6500,5056267
2020-06-12,1051.0000,1066.8000,928.0000,983.0000,4792434
2020-06-05,970.0000,1045.0000,968.5000,1034.7500,3258560
2020-05-29,850.0000,955.0000,848.9000,951.2500,5291250
2020-05-22,888.6000,888.6000,826.0000,838.9000,5017413
2020-05-15,939.0000,964.0000,871.5500,888.2000,6217341
2020-05-08,964.0000,964.0000,905.0000,928.9500,3050103
2020-04-30,940.5500,1018.9000,922.6000,1001.7500,2638248
2020-04-24,952.2500,960.8500,907.3000,937.6500,4373100
2020-04-17,939.0000,945.7000,843.3500,910.4000,5472289
2020-04-09,876.0000,945.0000,846.0000,924.3000,2994784
2020-04-03,894.9000,894.9000,810.0000,813.5000,4581088
2020-03-27,815.0000,988.1500,738.9000,905.0500,9220418
2020-03-20,1034.9000,1036.8500,795.1500,882.4000,5440052
2020-03-13,1115.0000,1120.0000,919.5500,1071.1500,10679752
2020-03-06,1195.0000,1200.0500,1101.5000,1134.8500,3485173
2020-02-28,1214.0000,1214.0000,1170.1000,1177.6000,2292131
2020-02-20,1225.8000,1232.8000,1204.0000,1217.3000,418775
2020-02-14,1246.7000,1263.8000,1215.0000,1219.2500,3136228
2020-02-07,1199.1000,1248.3000,1178.0000,1241.9000,953086
2020-01-31,1237.0000,1242.0000,1211.5000,1225.7000,1410673
2020-01-24,1302.7500,1303.8000,1231.8500,1244.1500,1403038
2020-01-17,1285.0000,1296.6000,1271.9500,1277.8500,9516059
2020-01-10,1265.8000,1286.9000,1236.0000,1283.2000,3759385
2020-01-03,1280.0000,1289.0000,1263.0000,1268.1000,1945272
2019-12-27,1296.3500,1303.7000,1265.1000,1274.9000,380608
2019-12-20,1264.3000,1304.1000,1248.6000,1296.2000,849565
2019-12-13,1252.0000,1272.0000,1213.1500,1262.8000,560392
2019-12-06,1275.0000,1276.4000,1234.4000,1246.2000,602675
2019-11-29,1267.0500,1285.8000,1252.0500,1274.2500,1683831
2019-11-22,1275.0000,1287.5500,1259.0000,1265.4500,688755
2019-11-15,1255.0000,1285.0000,1251.0000,1278.3000,624635
2019-11-08,1245.0000,1269.6000,1228.2000,1254.7000,1140984
2019-11-01,1239.7000,1263.9000,1227.6500,1240.3500,1048006
2019-10-25,1257.0000,1257.0000,1220.0000,1228.7000,2323927
2019-10-18,1205.0000,1235.5000,1198.2000,1229.2000,809491
2019-10-11,1205.0000,1230.3000,1181.0000,1198.5500,1246870
2019-10-04,1240.0000,1254.0000,1185.3000,1188.9500,1138857
2019-09-27,1255.3500,1285.0000,1228.0000,1244.1500,2606118
2019-09-20,2256.2500,2259.0000,1084.4000,1200.1000,2964652
2019-09-13,2255.0000,2288.5000,2216.2500,2256.2500,1444274
2019-09-06,2225.0000,2274.7500,2196.4000,2245.1500,1015678
2019-08-30,2204.9000,2272.4000,2167.5000,2228.9000,1607294
2019-08-23,2235.5000,2241.5500,2139.5000,2163.2500,1470520
2019-08-16,2282.0000,2282.0000,2202.6500,2226.6500,1057250
2019-08-09,2201.0000,2288.0000,2160.0000,2281.7500,1552946
2019-08-02,2278.3500,2278.3500,2182.1500,2214.9500,3397500
2019-07-26,2353.0000,2353.7500,2242.0500,2276.3000,1635724
2019-07-19,2412.9000,2429.3500,2368.1000,2375.9500,3595112
2019-07-12,2472.4000,2472.4000,2365.4500,2393.4500,1732812
2019-07-05,2451.1000,2502.9000,2451.1000,2475.4000,797632
2019-06-28,2408.0000,2494.0000,2403.4000,2446.4000,1403996
2019-06-21,2437.0000,2443.4000,2403.6000,2415.3500,866804
2019-06-14,2465.0000,2466.9000,2415.0000,2436.4500,1453204
2019-06-07,2434.5000,2470.0000,2410.0000,2448.0000,680534
2019-05-31,2406.0000,2463.9500,2359.5000,2424.9000,855242
2019-05-24,2400.0500,2449.0000,2321.7000,2372.3000,2330230
2019-05-17,2296.7500,2369.0000,2275.0500,2361.6500,789820
