price,date,volume
MYR RM4.91,"Oct 15, 2021",608K
MYR RM4.91,"Oct 15, 2021",608K
MYR RM4.91,"Oct 15, 2021",608K
MYR RM4.93,"Oct 22, 2021",1.3M
MYR RM4.93,"Oct 22, 2021",1.3M
MYR RM4.92,"Oct 29, 2021",886K
MYR RM4.92,"Oct 29, 2021",886K
MYR RM5.00,"Nov 5, 2021",749K
MYR RM5.00,"Nov 5, 2021",749K
MYR RM5.00,"Nov 5, 2021",749K
MYR RM5.01,"Nov 12, 2021",587K
MYR RM5.01,"Nov 12, 2021",587K
MYR RM4.95,"Nov 19, 2021",570K
MYR RM4.95,"Nov 19, 2021",570K
MYR RM5.13,"Nov 26, 2021",698K
MYR RM5.13,"Nov 26, 2021",698K
MYR RM5.13,"Nov 26, 2021",698K
MYR RM5.52,"Dec 2, 2021",861K
MYR RM5.52,"Dec 2, 2021",861K
MYR RM5.00,"Dec 10, 2021",510K
MYR RM5.00,"Dec 10, 2021",510K
MYR RM4.96,"Dec 17, 2021",344K
MYR RM4.96,"Dec 17, 2021",344K
MYR RM4.96,"Dec 17, 2021",344K
MYR RM5.00,"Dec 24, 2021",607K
MYR RM5.00,"Dec 24, 2021",607K
MYR RM4.98,"Dec 31, 2021",342K
MYR RM4.98,"Dec 31, 2021",342K
MYR RM4.98,"Dec 31, 2021",342K
MYR RM4.92,"Jan 7, 2022",405K
MYR RM4.92,"Jan 7, 2022",405K
MYR RM4.25,"Jan 14, 2022",1.9M
MYR RM4.25,"Jan 14, 2022",1.9M
MYR RM4.00,"Jan 21, 2022",2.4M
MYR RM4.00,"Jan 21, 2022",2.4M
MYR RM4.00,"Jan 21, 2022",2.4M
MYR RM3.95,"Jan 28, 2022",4.5M
MYR RM3.95,"Jan 28, 2022",4.5M
MYR RM3.93,"Feb 4, 2022",1.2M
MYR RM3.93,"Feb 4, 2022",1.2M
MYR RM4.08,"Feb 11, 2022",2.1M
MYR RM4.08,"Feb 11, 2022",2.1M
MYR RM4.08,"Feb 11, 2022",2.1M
MYR RM3.89,"Feb 18, 2022",5.9M
MYR RM3.89,"Feb 18, 2022",5.9M
MYR RM3.89,"Feb 25, 2022",5.5M
MYR RM3.89,"Feb 25, 2022",5.5M
MYR RM3.63,"Mar 4, 2022",3.6M
MYR RM3.63,"Mar 4, 2022",3.6M
MYR RM3.63,"Mar 4, 2022",3.6M
MYR RM3.36,"Mar 11, 2022",9.7M
MYR RM3.36,"Mar 11, 2022",9.7M
MYR RM3.63,"Mar 18, 2022",12M
MYR RM3.63,"Mar 18, 2022",12M
MYR RM4.04,"Mar 25, 2022",7.2M
MYR RM4.04,"Mar 25, 2022",7.2M
MYR RM4.04,"Mar 25, 2022",7.2M
MYR RM4.00,"Apr 1, 2022",3.8M
MYR RM4.00,"Apr 1, 2022",3.8M
MYR RM4.05,"Apr 8, 2022",2.7M
MYR RM4.05,"Apr 8, 2022",2.7M
MYR RM3.80,"Apr 15, 2022",3.7M
MYR RM3.80,"Apr 15, 2022",3.7M
MYR RM3.80,"Apr 15, 2022",3.7M
MYR RM3.75,"Apr 22, 2022",982K
